dataset_id,run_id,algo,ami,n_clusters,dbcv_status,noise_fraction,status,dbcv,s_dbw
img_fashion_mnist_5k,19967cb83e78,DBSCAN,0.0,0,all_noise,1.0,all_noise,,
img_fashion_mnist_5k,158a0277ed3c,DBSCAN,0.0,0,all_noise,1.0,all_noise,,
img_fashion_mnist_5k,d0fba6f03c0f,DBSCAN,0.0065500389212095,5,all_noise,0.9946666666666667,all_noise,,
img_fashion_mnist_5k,f10f8ff36baa,DBSCAN,0.001805412645483,1,trivial,0.9983333333333333,trivial,,
img_fashion_mnist_5k,672c637760be,DBSCAN,0.0,0,all_noise,1.0,all_noise,,
img_fashion_mnist_5k,0cd896f527d5,DBSCAN,0.0,0,all_noise,1.0,all_noise,,
img_fashion_mnist_5k,4887a0323e21,DBSCAN,0.0631251596309387,19,error,0.2966666666666667,ok,,-0.35990170805885624
img_fashion_mnist_5k,3d795ce47578,DBSCAN,0.0575525932172019,5,ok,0.328,ok,-0.1474279367224129,-0.49326229250153625
img_fashion_mnist_5k,639f74dd0e43,DBSCAN,0.0633519955163158,3,ok,0.396,ok,-0.12209025256413368,-0.4958872765969921
img_fashion_mnist_5k,9c3ccb4fd98f,DBSCAN,0.0912879921722117,3,ok,0.497,ok,-0.08340978702993186,-0.6395187168240819
img_fashion_mnist_5k,5647bbf0428d,HDBSCAN,0.0160395622140256,3,ok,0.06133333333333333,ok,-0.08937290648338021,-0.5975451792820224
img_fashion_mnist_5k,389d4ccb0588,HDBSCAN,0.0501656667271261,2,ok,0.30833333333333335,ok,-0.08951491940603098,-0.5756012096479334
img_fashion_mnist_5k,e34ce5984b64,HDBSCAN,0.0805119449337341,3,ok,0.74,ok,0.02468895774444273,-0.5823090178843372
img_fashion_mnist_5k,63470ebdd53e,HDBSCAN,0.0615414985950027,4,ok,0.289,ok,-0.07555096155778224,-0.6829825798804112
img_fashion_mnist_5k,46814f50e13d,HDBSCAN,0.0812016798933589,2,ok,0.6853333333333333,ok,0.07821291927806312,-0.7072915038125651
img_fashion_mnist_5k,e597041814f5,HDBSCAN,0.0805119449337341,3,ok,0.74,ok,0.02468895774444273,-0.5823090178843372
img_fashion_mnist_5k,024a1a8c54d1,HDBSCAN,0.0580581512220902,2,ok,0.25766666666666665,ok,0.04480273847375608,-0.8051608825830094
img_fashion_mnist_5k,bdcde80d6dbb,HDBSCAN,0.1822033189660929,4,ok,0.774,ok,-0.02500029946939723,-0.8094424501687517
img_fashion_mnist_5k,95475ce56089,HDBSCAN,0.1219583902279422,2,ok,0.8806666666666667,ok,0.011843265194439605,-0.9312785883520813
img_fashion_mnist_5k,5009193136b4,HDBSCAN,0.1364598225032536,2,ok,0.653,ok,-0.03647121851828593,-0.8862349321766526
img_fashion_mnist_5k,955728329102,HDBSCAN,0.1610263226553081,2,ok,0.775,ok,-0.0363394969842974,-0.9628547242677711
img_fashion_mnist_5k,1f1b6dfa46dc,HDBSCAN,0.1219583902279422,2,ok,0.8806666666666667,ok,0.011843265194439605,-0.9312785883520813
img_fashion_mnist_5k,272f18e90bd4,AgglomerativeClustering,0.1937689151034049,2,ok,0.0,ok,-0.6138041954461313,-0.8669380068043497
img_fashion_mnist_5k,0cc00684cc3f,AgglomerativeClustering,0.3211623203126433,3,ok,0.0,ok,-0.6053204950151374,-0.9174154412231246
img_fashion_mnist_5k,7203310ff7ba,AgglomerativeClustering,0.4624609798204872,5,ok,0.0,ok,-0.6228318682265653,-0.9503922481108851
img_fashion_mnist_5k,a399ab5a112a,AgglomerativeClustering,0.5002296470585008,7,ok,0.0,ok,-0.5923416912381482,-0.9555781871206401
img_fashion_mnist_5k,4d00158c440c,AgglomerativeClustering,0.5658333304521356,10,ok,0.0,ok,-0.5587255556492357,-0.9250474144079928
img_fashion_mnist_5k,f028e3896d9e,AgglomerativeClustering,0.5479163412641467,15,ok,0.0,ok,-0.5115337101992777,-0.9140951934078314
img_fashion_mnist_5k,bc0e2be21bfb,AgglomerativeClustering,0.5559700287944558,20,ok,0.0,ok,-0.4721004545415182,-0.8980425802383482
img_fashion_mnist_5k,ae16e9272ff8,AgglomerativeClustering,0.0166872872665938,2,ok,0.0,ok,-0.743351564446783,-0.9950603845980249
img_fashion_mnist_5k,803c0d3403ff,AgglomerativeClustering,0.023096462131563,3,ok,0.0,ok,-0.7344822647184777,-1.1210954071802335
img_fashion_mnist_5k,579a8bd776f9,AgglomerativeClustering,0.0408531092994753,5,ok,0.0,ok,-0.731297213851148,-1.0897991108544074
img_fashion_mnist_5k,ccd2d07c7a4a,AgglomerativeClustering,0.0690454711327332,7,ok,0.0,ok,-0.7259684546174694,-1.1010185830505261
img_fashion_mnist_5k,92f60358ba37,AgglomerativeClustering,0.0834681238736909,10,ok,0.0,ok,-0.7203138094564613,-1.0259786451538002
img_fashion_mnist_5k,646357d2ae16,AgglomerativeClustering,0.0896596863738775,14,ok,0.0,ok,-0.706073573934577,-1.0132269731649568
img_fashion_mnist_5k,5773d7049286,AgglomerativeClustering,0.1100838813718952,19,ok,0.0,ok,-0.6914824404742119,-0.9897011984764142
img_fashion_mnist_5k,a81f368f51bb,AgglomerativeClustering,1.3542683611622422e-05,1,trivial,0.0,trivial,,
img_fashion_mnist_5k,70969dd2d720,AgglomerativeClustering,-3.140794025342895e-05,2,ok,0.0,ok,0.2601391289568537,-0.8937554701200818
img_fashion_mnist_5k,34b50b92b183,AgglomerativeClustering,-8.733356533117076e-05,3,error,0.0,ok,,-0.44704412852647396
img_fashion_mnist_5k,48d260f98b0d,AgglomerativeClustering,-0.0001150063605603,4,error,0.0,ok,,-0.298140267878078
img_fashion_mnist_5k,1134a806601d,AgglomerativeClustering,0.0007550353937209,7,error,0.0,ok,,-0.40964156286650943
img_fashion_mnist_5k,0069693e350e,AgglomerativeClustering,0.002789168070671,11,error,0.0,ok,,-0.44138317597195303
img_fashion_mnist_5k,2fa0af8799c8,AgglomerativeClustering,0.0047530032115743,15,error,0.0,ok,,-0.3822859505914518
img_mnist_digits_2k,76c89cda5ca5,KMeans,0.0447120319571764,2,ok,0.0,ok,-0.5241777924819451,-1.0513815995974245
